package;file;line;code;type;correct
com.aelitis.azureus.core.dht.db.impl;/vuze/com/aelitis/azureus/core/dht/db/impl/DHTDBImpl.java;1026;now < value.getStoreTime();TimeoutResources;1
com.aelitis.azureus.core.dht.db.impl;/vuze/com/aelitis/azureus/core/dht/db/impl/DHTDBImpl.java;1032;now - value.getStoreTime() <= cache_republish_interval;TimeoutResources;1
com.aelitis.azureus.core.dht.db.impl;/vuze/com/aelitis/azureus/core/dht/db/impl/DHTDBImpl.java;2276;next_time != null && next_time > now;TimeoutResources;1
com.aelitis.azureus.core.dht.db.impl;/vuze/com/aelitis/azureus/core/dht/db/impl/DHTDBImpl.java;2289;new_next_time < now + 30*60*1000;TimeoutResources;1
com.aelitis.azureus.core.dht.nat.impl;/vuze/com/aelitis/azureus/core/dht/nat/impl/DHTNATPuncherImpl.java;367;now - time > RENDEZVOUS_SERVER_TIMEOUT;TimeoutResources;1
com.aelitis.azureus.core.dht.nat.impl;/vuze/com/aelitis/azureus/core/dht/nat/impl/DHTNATPuncherImpl.java;530;force || now - last_publish >= REPUBLISH_TIME_MIN;TimeoutResources;1
com.aelitis.azureus.core.dht.nat.impl;/vuze/com/aelitis/azureus/core/dht/nat/impl/DHTNATPuncherImpl.java;2296;now - rendezvous_lookup_cache_tidy_time >= 2*60*1000;TimeoutResources;1
com.aelitis.azureus.core.dht.nat.impl;/vuze/com/aelitis/azureus/core/dht/nat/impl/DHTNATPuncherImpl.java;2308;time != -1 && now - time > 2*60*1000;TimeoutResources;1
com.aelitis.azureus.core.dht.nat.impl;/vuze/com/aelitis/azureus/core/dht/nat/impl/DHTNATPuncherImpl.java;2323;time == -1 || now - time  < 2*60*1000;TimeoutResources;1
com.aelitis.azureus.core.dht.nat.impl;/vuze/com/aelitis/azureus/core/dht/nat/impl/DHTNATPuncherImpl.java;2450;last_debug >= 0 && now - last_debug <= 60*1000;TimeoutResources;1
com.aelitis.azureus.core.dht.nat.impl.DHTNATPuncherImpl;/vuze/com/aelitis/azureus/core/dht/nat/impl/DHTNATPuncherImpl.java;2728;(    consec_fails < 8 ||    SystemTime.getMonotonousTime() - last_connect_time > 30*1000 );TimeoutResources;1
com.aelitis.azureus.core.dht.router.impl;/vuze/com/aelitis/azureus/core/dht/router/impl/DHTRouterImpl.java;341;SystemTime.getMonotonousTime() - recent_contact_bloom.getStartTimeMono() > 10*60*1000;TimeoutResources;1
com.aelitis.azureus.core.dht.transport.loopback;/vuze/com/aelitis/azureus/core/dht/transport/loopback/DHTTransportLoopbackImpl.java;118;Thread.sleep( LATENCY );ThreadTime;1
com.aelitis.azureus.core.dht.transport.udp.impl;/vuze/com/aelitis/azureus/core/dht/transport/udp/impl/DHTTransportAlternativeContactImpl.java;96;rem < elapsed;TimeoutResources;1
com.aelitis.azureus.core.dht.transport.util;/vuze/com/aelitis/azureus/core/dht/transport/util/DHTTransferHandler.java;709;last_xferq_log == 0 || now - last_xferq_log > 5*60*1000;TimeoutResources;1
com.aelitis.azureus.core.diskmanager.access.impl;/vuze/com/aelitis/azureus/core/diskmanager/access/impl/DiskAccessControllerInstance.java;967;Thread.sleep(5 + RandomUtils.generateRandomIntUpto(5));ThreadTime;1
com.aelitis.azureus.core.diskmanager.access.impl;/vuze/com/aelitis/azureus/core/diskmanager/access/impl/DiskAccessControllerInstance.java;209;now - last_check > 60000 || now < last_check;TimeoutResources;1
com.aelitis.azureus.core.diskmanager.access.impl;/vuze/com/aelitis/azureus/core/diskmanager/access/impl/DiskAccessControllerInstance.java;225;now - last_active > 60000;TimeoutResources;1
com.aelitis.azureus.core.diskmanager.access.impl;/vuze/com/aelitis/azureus/core/diskmanager/access/impl/DiskAccessControllerInstance.java;229;now < last_active;TimeoutResources;1
com.aelitis.azureus.core.diskmanager.access.impl.DiskAccessControllerInstance.groupSemaphore;/vuze/com/aelitis/azureus/core/diskmanager/access/impl/DiskAccessControllerInstance.java;911;wait();ThreadTime;1
com.aelitis.azureus.core.diskmanager.cache.impl;/vuze/com/aelitis/azureus/core/diskmanager/cache/impl/CacheFileWithoutCacheMT.java;139;Thread.sleep(250);ThreadTime;1
com.aelitis.azureus.core.diskmanager.cache.impl;/vuze/com/aelitis/azureus/core/diskmanager/cache/impl/CacheFileWithoutCacheMT.java;219;Thread.sleep(250);ThreadTime;1
com.aelitis.azureus.core.diskmanager.file.impl;/vuze/com/aelitis/azureus/core/diskmanager/file/impl/FMFileAccessLinear.java;340;Thread.sleep( READ_RETRY_DELAY*loop );ThreadTime;1
com.aelitis.azureus.core.diskmanager.file.impl;/vuze/com/aelitis/azureus/core/diskmanager/file/impl/FMFileAccessLinear.java;363;Thread.sleep( READ_RETRY_DELAY*loop );ThreadTime;1
com.aelitis.azureus.core.diskmanager.file.impl;/vuze/com/aelitis/azureus/core/diskmanager/file/impl/FMFileAccessLinear.java;509;Thread.sleep( WRITE_RETRY_DELAY*loop );ThreadTime;1
com.aelitis.azureus.core.diskmanager.file.impl;/vuze/com/aelitis/azureus/core/diskmanager/file/impl/FMFileAccessPieceReorderer.java;963;dirt_time >= 0 && ( now - dirt_time >= DIRT_FLUSH_MILLIS );TimeoutResources;1
com.aelitis.azureus.core.diskmanager.file.impl;/vuze/com/aelitis/azureus/core/diskmanager/file/impl/FMFileImpl.java;1068;Thread.sleep( RandomUtils.nextInt( 1000 ));ThreadTime;1
com.aelitis.azureus.core.download.EnhancedDownloadManager;/vuze/com/aelitis/azureus/core/download/EnhancedDownloadManager.java;830;mono_now - last_recalc < 500;TimeoutResources;1
com.aelitis.azureus.core.download.StreamManager;/vuze/com/aelitis/azureus/core/download/StreamManager.java;932;Thread.sleep( TIMER_PERIOD );ThreadTime;1
com.aelitis.azureus.core.download.StreamManager;/vuze/com/aelitis/azureus/core/download/StreamManager.java;1150;Thread.sleep(250);ThreadTime;1
com.aelitis.azureus.core.download.StreamManager;/vuze/com/aelitis/azureus/core/download/StreamManager.java;327;preview_mode_last_change == 0 ||      now - preview_mode_last_change > 500;TimeoutResources;1
com.aelitis.azureus.core.download.StreamManager;/vuze/com/aelitis/azureus/core/download/StreamManager.java;1138;SystemTime.getMonotonousTime() - start >= 30*1000;TimeoutResources;1
com.aelitis.azureus.core.helpers;/vuze/com/aelitis/azureus/core/helpers/TorrentFolderWatcher.java;129;remaining < 250 || last_run == 0;TimeoutResources;1
com.aelitis.azureus.core.helpers;/vuze/com/aelitis/azureus/core/helpers/TorrentFolderWatcher.java;136;remaining < 250;TimeoutResources;1
com.aelitis.azureus.core.impl;/vuze/com/aelitis/azureus/core/impl/AzureusCoreImpl.java;892;Thread.sleep(delayCore);ThreadTime;1
com.aelitis.azureus.core.impl;/vuze/com/aelitis/azureus/core/impl/AzureusCoreImpl.java;1673;Thread.sleep( 10*1000 );ThreadTime;1
com.aelitis.azureus.core.impl;/vuze/com/aelitis/azureus/core/impl/AzureusCoreImpl.java;1723;Thread.sleep(10*1000);ThreadTime;1
com.aelitis.azureus.core.impl;/vuze/com/aelitis/azureus/core/impl/AzureusCoreImpl.java;2334;now - ra_last_data_time >= 60*1000*restart_after;TimeoutResources;1
com.aelitis.azureus.core.impl;/vuze/com/aelitis/azureus/core/impl/AzureusCoreImpl.java;2493;ca_last_time_downloading >= 0 && !is_downloading && now - ca_last_time_downloading >= 30*1000;TimeoutResources;1
com.aelitis.azureus.core.impl;/vuze/com/aelitis/azureus/core/impl/AzureusCoreImpl.java;2503;ca_last_time_seeding >= 0 && !is_seeding && now - ca_last_time_seeding >= 30*1000;TimeoutResources;1
com.aelitis.azureus.core.impl;/vuze/com/aelitis/azureus/core/impl/AzureusCoreSingleInstanceClient.java;110;Thread.sleep( CONNECT_TIMEOUT - time_taken );ThreadTime;1
com.aelitis.azureus.core.impl;/vuze/com/aelitis/azureus/core/impl/AzureusCoreSingleInstanceClient.java;77;"PrintWriter pw = new PrintWriter(new OutputStreamWriter(sock.getOutputStream(),""UTF-8""))";SocketTimeout;1
